response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0073,0.0026,0.0000,0.0000,0.0044,0.0002,200,2.0402
0.0070,0.0029,0.0000,0.0000,0.0039,0.0001,200,2.0474
0.0067,0.0027,0.0000,0.0000,0.0039,0.0001,200,2.0544
0.0103,0.0029,0.0000,0.0000,0.0072,0.0001,200,2.0612
0.0067,0.0026,0.0000,0.0000,0.0039,0.0001,200,2.0715
0.0071,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.0782
0.0069,0.0027,0.0000,0.0001,0.0041,0.0001,200,2.0852
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.0922
0.0072,0.0029,0.0000,0.0001,0.0041,0.0001,200,2.0991
0.0071,0.0030,0.0000,0.0000,0.0039,0.0001,200,2.1063
0.0068,0.0028,0.0000,0.0001,0.0039,0.0001,200,2.1134
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,2.1202
0.0072,0.0029,0.0000,0.0001,0.0041,0.0001,200,2.1272
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.1344
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,2.1414
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,2.1484
0.0070,0.0026,0.0000,0.0000,0.0043,0.0001,200,2.1553
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.1623
0.0069,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.1693
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,2.1763
0.0068,0.0026,0.0000,0.0000,0.0041,0.0001,200,2.1833
0.0092,0.0026,0.0000,0.0000,0.0065,0.0001,200,2.1901
0.0068,0.0028,0.0000,0.0001,0.0039,0.0001,200,2.1994
0.0070,0.0026,0.0000,0.0000,0.0043,0.0001,200,2.2062
0.0072,0.0029,0.0000,0.0001,0.0042,0.0001,200,2.2132
0.0071,0.0028,0.0000,0.0000,0.0041,0.0001,200,2.2204
0.0066,0.0025,0.0000,0.0000,0.0040,0.0000,200,2.2275
0.0072,0.0028,0.0000,0.0000,0.0043,0.0001,200,2.2341
0.0071,0.0029,0.0000,0.0000,0.0040,0.0001,200,2.2414
0.0068,0.0025,0.0000,0.0000,0.0041,0.0001,200,2.2485
0.0070,0.0025,0.0000,0.0000,0.0043,0.0001,200,2.2553
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,2.2623
0.0070,0.0025,0.0000,0.0000,0.0044,0.0001,200,2.2692
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.2762
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,2.2832
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.2903
0.0070,0.0025,0.0000,0.0000,0.0043,0.0001,200,2.2972
0.0070,0.0025,0.0000,0.0001,0.0043,0.0001,200,2.3042
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.3112
0.0090,0.0025,0.0000,0.0001,0.0063,0.0001,200,2.3182
0.0072,0.0027,0.0000,0.0000,0.0044,0.0001,200,2.3272
0.0068,0.0026,0.0000,0.0000,0.0040,0.0001,200,2.3344
0.0073,0.0029,0.0000,0.0000,0.0042,0.0001,200,2.3412
0.0075,0.0028,0.0000,0.0001,0.0045,0.0001,200,2.3485
0.0064,0.0029,0.0000,0.0000,0.0034,0.0001,200,2.3560
0.0068,0.0027,0.0000,0.0000,0.0040,0.0001,200,2.3624
0.0072,0.0028,0.0000,0.0000,0.0042,0.0001,200,2.3692
0.0070,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.3764
0.0068,0.0025,0.0000,0.0000,0.0041,0.0001,200,2.3834
0.0073,0.0029,0.0000,0.0000,0.0042,0.0001,200,2.3902
0.0068,0.0026,0.0000,0.0001,0.0040,0.0001,200,2.3974
0.0071,0.0026,0.0000,0.0001,0.0043,0.0001,200,2.4042
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,2.4113
0.0071,0.0026,0.0000,0.0000,0.0043,0.0001,200,2.4182
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,2.4254
0.0070,0.0026,0.0000,0.0001,0.0042,0.0001,200,2.4324
0.0069,0.0026,0.0000,0.0000,0.0041,0.0001,200,2.4394
0.0091,0.0027,0.0000,0.0001,0.0062,0.0001,200,2.4463
0.0068,0.0026,0.0000,0.0000,0.0040,0.0001,200,2.4554
0.0092,0.0029,0.0000,0.0000,0.0061,0.0001,200,2.4622
0.0068,0.0026,0.0000,0.0000,0.0040,0.0001,200,2.4714
0.0069,0.0024,0.0000,0.0000,0.0044,0.0001,200,2.4782
0.0073,0.0027,0.0000,0.0000,0.0043,0.0001,200,2.4851
0.0069,0.0027,0.0000,0.0000,0.0041,0.0001,200,2.4923
0.0070,0.0028,0.0000,0.0000,0.0040,0.0001,200,2.4993
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,2.5063
0.0068,0.0028,0.0000,0.0000,0.0040,0.0001,200,2.5133
0.0070,0.0026,0.0000,0.0000,0.0043,0.0001,200,2.5202
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,2.5272
0.0071,0.0024,0.0000,0.0000,0.0045,0.0001,200,2.5341
0.0073,0.0030,0.0000,0.0000,0.0042,0.0001,200,2.5412
0.0067,0.0027,0.0000,0.0000,0.0039,0.0001,200,2.5485
0.0073,0.0028,0.0000,0.0000,0.0044,0.0001,200,2.5551
0.0068,0.0026,0.0000,0.0001,0.0040,0.0001,200,2.5624
0.0070,0.0028,0.0000,0.0000,0.0041,0.0001,200,2.5692
0.0069,0.0028,0.0000,0.0000,0.0040,0.0001,200,2.5763
0.0072,0.0027,0.0000,0.0001,0.0043,0.0001,200,2.5832
0.0068,0.0026,0.0000,0.0000,0.0041,0.0001,200,2.5904
0.0073,0.0027,0.0000,0.0000,0.0044,0.0001,200,2.5972
0.0067,0.0026,0.0000,0.0000,0.0041,0.0001,200,2.6044
0.0072,0.0030,0.0000,0.0000,0.0041,0.0001,200,2.6112
0.0067,0.0025,0.0000,0.0000,0.0040,0.0001,200,2.6184
0.0070,0.0025,0.0000,0.0000,0.0044,0.0001,200,2.6251
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,2.6321
0.0071,0.0025,0.0000,0.0000,0.0045,0.0001,200,2.6391
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,2.6462
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,2.6532
0.0070,0.0027,0.0000,0.0001,0.0042,0.0001,200,2.6602
0.0122,0.0028,0.0000,0.0000,0.0092,0.0001,200,2.6672
0.0069,0.0028,0.0000,0.0000,0.0040,0.0001,200,2.6794
0.0070,0.0026,0.0000,0.0000,0.0042,0.0001,200,2.6863
0.0070,0.0027,0.0000,0.0000,0.0042,0.0001,200,2.6932
0.0110,0.0024,0.0000,0.0001,0.0084,0.0001,200,2.7003
0.0069,0.0026,0.0000,0.0000,0.0042,0.0001,200,2.7113
0.0070,0.0026,0.0000,0.0001,0.0042,0.0001,200,2.7182
